Max Likelihood,Count,LHS,RHS
1,1,S,NP VP
0.666666667,2,VP,Verb NP
0.333333333,1,VP,Verb NPPP
1,1,NPPP,NP PP
0.5,1,NP,Det Noun
0.5,1,NP,Det NP\_1
1,1,PP,Prep NP
1,1,NP\_1,Adj Noun
0.024390244,1,Verb,ate
0.024390244,1,Verb,wanted
0.048780488,2,Verb,kissed
0.024390244,1,Verb,understood
0.024390244,1,Verb,pickled
0.487804878,20,Verb,beat
0.243902439,10,Verb,bet
0.12195122,5,Verb,bid
0.333333333,1,Det,the
0.333333333,1,Det,a
0.333333333,1,Det,every
0.090909091,1,Noun,president
0.090909091,1,Noun,sandwich
0.090909091,1,Noun,pickle
0.090909091,1,Noun,beat
0.090909091,1,Noun,floor
0.090909091,1,Noun,bet
0.454545455,5,Noun,bid
0.25,1,Adj,fine
0.25,1,Adj,delicious
0.25,1,Adj,perplexed
0.25,1,Adj,pickled
0.25,1,Prep,with
0.25,1,Prep,on
0.25,1,Prep,under
0.25,1,Prep,in
0.5,2,Punc,.
0.25,1,Punc,!
0.25,1,Punc,?
