Max Likelihood,Count,LHS,RHS,
0.66,2,SS,NP VP,5
0.33,1,SS,AP NP,
0.4,2,VP,Verb NP,
0.2,1,VP,VP CC,
0.2,1,VP,VP VP,
0.2,1,VP,Verb NPPP,
1,1,NPPP,NP PP,
0.2,1,NP,Det Noun,
0.2,1,NP,Det NP\_1,
0.2,1,NP,NP Noun,
0.2,1,NP,NP PP,
1,1,PP,Prep NP,
1,1,NP\_1,Adj Noun,
0.2,1,NP,AP NP,
1,1,CC,and,
0.043478261,1,Verb,ate,23
0.086956522,2,Verb,is,
0.043478261,1,Verb,saw,
0.086956522,2,Verb,tought,
0.043478261,1,Verb,confused,
0.043478261,1,Verb,make,
0.043478261,1,Verb,wanted,
0.086956522,2,Verb,kissed,
0.043478261,1,Verb,reflect,
0.043478261,1,Verb,understood,
0.043478261,1,Verb,pickled,
0.086956522,2,Verb,beat,
0.043478261,1,Verb,bet,
0.217391304,5,Verb,bid,
0.043478261,1,Verb,sighed,
0.25,1,Det,the,
0.25,1,Det,a,28
0.25,1,Det,that,
0.25,1,Det,every,
0.035714286,1,Noun,president,
0.035714286,1,Noun,sandwich,
0.035714286,1,Noun,pickle,
0.035714286,1,Noun,beat,
0.035714286,1,Noun,floor,
0.035714286,1,Noun,bet,
0.178571429,5,Noun,bid,
0.035714286,1,Noun,josh,
0.035714286,1,Noun,george,
0.035714286,1,Noun,jen,
0.035714286,1,Noun,ben,
0.035714286,1,Noun,tomato,
0.035714286,1,Noun,republicans,
0.035714286,1,Noun,jen,
0.035714286,1,Noun,ben,
0.035714286,1,Noun,drugs,
0.035714286,1,Noun,alex,
0.035714286,1,Noun,summit,
0.035714286,1,Noun,townies,
0.035714286,1,Noun,thought,
0.035714286,1,Noun,american,
0.035714286,1,Noun,paninis,
0.035714286,1,Noun,students,
0.035714286,1,Noun,Sunday,
1,1,Adv,also,
0.166666667,1,Adj,fine,6
0.166666667,1,Adj,delicious,
0.166666667,1,Adj,perplexed,
0.166666667,1,Adj,thoughtful,
0.166666667,1,Adj,very,
0.166666667,1,Adj,pickled,
0.2,1,AP,AP Adj,5
0.4,1,AP,very,
0.2,1,AP,thoughtful,
0.2,2,AP,Det AP,
0.2,1,Prep,with,
0.2,1,Prep,on,
0.2,1,Prep,and,
0.2,1,Prep,under,
0.2,1,Prep,in,
0.5,2,Punc,.,
0.25,1,Punc,!,
0.25,1,Punc,?,
1,1,S,SS Punc,
0.035714286,1,NP,president,
0.035714286,1,NP,sandwich,
0.035714286,1,NP,pickle,
0.035714286,1,NP,beat,
0.035714286,1,NP,floor,
0.035714286,1,NP,bet,
0.178571429,5,NP,bid,
0.035714286,1,NP,josh,
0.035714286,1,NP,alex,
0.035714286,1,NP,george,
0.035714286,1,NP,jen,
0.035714286,1,NP,ben,
0.035714286,1,NP,tomato,
0.035714286,1,NP,republicans,
0.035714286,1,NP,jen,
0.035714286,1,NP,ben,
0.035714286,1,NP,drugs,
0.035714286,1,NP,summit,
0.035714286,1,NP,townies,
0.035714286,1,NP,thought,
0.035714286,1,NP,american,
0.035714286,1,NP,paninis,
0.035714286,1,NP,students,
0.035714286,1,NP,Sunday,
0.043478261,1,VP,ate,
0.086956522,2,VP,is,
0.043478261,1,VP,saw,
0.086956522,2,VP,thought,
0.043478261,1,VP,confused,
0.043478261,1,VP,make,
0.043478261,1,VP,wanted,
0.086956522,2,VP,kissed,
0.043478261,1,VP,reflect,
0.043478261,1,VP,understood,
0.043478261,1,VP,pickled,
0.086956522,2,VP,beat,
0.043478261,1,VP,bet,
0.217391304,5,VP,bid,
0.043478261,1,VP,sighed,
